ID,Name,Glottocode
antaimoromanakara,Antaimoro (Manakara),
antaisakavangaindrano,Antaisaka (Vangaindrano),tesa1236
antambohoakamananjary,Antambohoaka (Mananjary),
antandroyambovombe,Antandroy (Ambovombe),tand1256
antankaranaambilobe,Antankarana (Ambilobe),anta1255
antankaranaantalaha,Antankarana (Antalaha),anta1255
antankaranavohemar,Antankarana (Vohemar),anta1255
antanosytolagnaro,Antanosy (Tolagnaro),
barabetroka,Bara (Betroka),bara1369
betsileofianarantsoa,Betsileo (Fianarantsoa),bets1235
betsimisarakafenoarivoest,Betsimisaraka (Fenoarivo-Est),nort2890
betsimisarakamahanoro,Betsimisaraka (Mahanoro),sout2920
mahafalyampanihy,Mahafaly (Ampanihy),maha1309
masikoromiary,Masikoro (Miary),masi1273
merinaantananarivo,Merina (Antananarivo),meri1234
mikeaanalamena,Mikea (Analamena),saka1291
sakalavaambanja,Sakalava (Ambanja),saka1291
sakalavamaintirano,Sakalava (Maintirano),saka1291
sakalavamajunga,Sakalava (Majunga),maju1234
sakalavamorondava,Sakalava (Morondava),saka1291
sihanakaambatondranzaka,Sihanaka (Ambatondranzaka),siha1244
tsimihetymandritsara,Tsimihety (Mandritsara),tsim1257
vezotoliara,Vezo (Toliara),vezo1235
zafisorofarafangana,Zafisoro (Farafangana),
